Country,Year,No. of cases,No. of deaths,No. of cases_median,No. of cases_min,No. of cases_max,No. of deaths_median,No. of deaths_min,No. of deaths_max,WHO Region,Reported No. of Cases,Reported No. of deaths,Changes in inventories,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross Domestic Product (GDP),Gross capital formation,Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services,Population,GDP_per_capita
Indonesia,2010,2730079[2199000-3531000],4364[380-8290],2730079,2199000.0,3531000.0,4364,380.0,8290.0,South-East Asia,465764.0,432.0,129095000000000.0,1670000000000000.0,4480000000000000.0,618178000000000.0,6860000000000000.0,2260000000000000.0,2130000000000000.0,3860000000000000.0,1540000000000000.0,244020000.0,28112449.799196787
Iran (Islamic Republic of),2010,1847,0,1847,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,1847.0,0.0,543003000000000.0,1280000000000000.0,3020000000000000.0,760973000000000.0,5370000000000000.0,2120000000000000.0,1580000000000000.0,2250000000000000.0,975487000000000.0,75370000.0,71248507.36367255
Iraq,2010,0,0,0,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,0.0,0.0,-634495000000.0,75539600000000.0,121429000000000.0,36256600000000.0,162065000000000.0,30409700000000.0,31044200000000.0,85171900000000.0,65313200000000.0,31260000.0,5184420.985284708
Kazakhstan,2010,0,0,0,0.0,0.0,0,0.0,0.0,Europe,0.0,0.0,228231000000.0,9652100000000.0,12258800000000.0,2358770000000.0,21815500000000.0,5535370000000.0,5307140000000.0,9899990000000.0,6521550000000.0,16629999.999999998,1311815.995189417
Kenya,2010,2845913[1647000-4630000],11375[10000-12700],2845913,1647000.0,4630000.0,11375,10000.0,12700.0,Africa,898531.0,26017.0,14854913086.0,724214000000.0,3086220000000.0,466050000000.0,3597630000000.0,764993000000.0,750138000000.0,2620170000000.0,1088910000000.0,41520000.0,86648.12138728323
Kyrgyzstan,2010,3,0,3,0.0,0.0,0,0.0,0.0,Europe,3.0,0.0,-1565300000.0,113610000000.0,226369000000.0,39946500000.0,220369000000.0,60384700000.0,61950000000.0,186423000000.0,179994000000.0,5480000.0,40213.32116788321
Liberia,2010,1295630[838000-2051000],2764[2280-3250],1295630,838000.0,2051000.0,2764,2280.0,3250.0,Africa,922173.0,1422.0,0.0,215000000.0,1509000000.0,280000000.0,1292000000.0,242000000.0,242000000.0,1229000000.0,674000000.0,4019999.9999999995,321.3930348258707
Madagascar,2010,937413[559000-1501000],2399[70-5360],937413,559000.0,1501000.0,2399,70.0,5360.0,Africa,202450.0,427.0,238154000000.0,4563730000000.0,18171700000000.0,2736450000000.0,20863400000000.0,5638820000000.0,5400670000000.0,15435300000000.0,7510920000000.0,21730000.0,960119.6502531063
Malawi,2010,4602005[3214000-6681000],9506[7800-11200],4602005,3214000.0,6681000.0,9506,7800.0,11200.0,Africa,0.0,8206.0,10129400000.0,183289000000.0,1116840000000.0,95280900000.0,1047340000000.0,169864000000.0,159734000000.0,1021560000000.0,395938000000.0,14720000.0,71150.81521739131
Malaysia,2010,5194,13,5194,0.0,0.0,13,0.0,0.0,Western Pacific,5194.0,13.0,7813000000.0,714075000000.0,498591000000.0,103346000000.0,821434000000.0,192105000000.0,184292000000.0,395245000000.0,583337000000.0,28720000.0,28601.462395543174
Mali,2010,5772983[4132000-7960000],17725[13900-21600],5772983,4132000.0,7960000.0,17725,13900.0,21600.0,Africa,227482.0,3006.0,171959000000.0,1207840000000.0,4669350000000.0,829710000000.0,5288940000000.0,1270710000000.0,1098750000000.0,3839640000000.0,1858960000000.0,15530000.0,340562.7817128139
Mauritania,2010,128567[21000-287000],1226[1040-1410],128567,21000.0,287000.0,1226,1040.0,1410.0,Africa,6367.0,60.0,-1596122455.0,71032057017.0,108228000000.0,20996361959.0,155297000000.0,50085120820.0,51681243275.0,87231954720.0,74048010134.0,3420000.0,45408.47953216374
Mexico,2010,1226,0,1226,0.0,0.0,0,0.0,0.0,Americas,1226.0,0.0,161786000000.0,3969500000000.0,10308200000000.0,1573400000000.0,13366400000000.0,3046610000000.0,2884830000000.0,8734840000000.0,4151950000000.0,112530000.0,118780.76957255843
Morocco,2010,3,2,3,0.0,0.0,2,0.0,0.0,Eastern Mediterranean,3.0,2.0,30674964779.0,246736000000.0,626400000000.0,143253000000.0,811647000000.0,270328000000.0,239653000000.0,483146000000.0,331817000000.0,32460000.0,25004.52865064695
Mozambique,2010,8455521[6102000-11640000],17542[14200-20900],8455521,6102000.0,11640000.0,17542,14200.0,20900.0,Africa,1522577.0,3354.0,18562287826.0,107266000000.0,346241000000.0,67299656680.0,377115000000.0,82737785040.0,64175497214.0,278941000000.0,159130000000.0,23070000.0,16346.553966189857
Myanmar,2010,2019172[1393000-3044000],3885[240-8270],2019172,1393000.0,3044000.0,3885,240.0,8270.0,South-East Asia,420808.0,788.0,66571700000.0,7466080000000.0,27981000000000.0,2498070000000.0,43042300000000.0,11382200000000.0,11315600000000.0,25482900000000.0,6651310000000.0,49390000.0,871478.0319902814
Namibia,2010,2601[800-6200],6[0-20],2601,800.0,6200.0,6,0.0,20.0,Africa,556.0,63.0,-957756825.0,40457917321.0,72316329434.0,21107476536.0,82599188455.0,19926476500.0,20884233325.0,51208852898.0,50101534800.0,2100000.0,39332.94688333333
Nepal,2010,30690[15000-63000],27[4-70],30690,15000.0,63000.0,27,4.0,70.0,South-East Asia,3894.0,6.0,57944194512.0,114299000000.0,1275940000000.0,119480000000.0,1345430000000.0,388133000000.0,330189000000.0,1156460000000.0,429135000000.0,27160000.0,49537.18703976436
Nicaragua,2010,866[730-1000],0[0-1],866,730.0,1000.0,0,0.0,1.0,Americas,692.0,1.0,6857600454.0,75694808011.0,176933000000.0,26369163646.0,187053000000.0,46463629584.0,39606029131.0,150564000000.0,112039000000.0,5860000.0,31920.307167235496
Niger,2010,7007707[3855000-10710000],21750[16400-27200],7007707,3855000.0,10710000.0,21750,16400.0,27200.0,Africa,620058.0,3929.0,31738000000.0,680398000000.0,3286520000000.0,536078000000.0,3779680000000.0,1232760000000.0,1201020000000.0,2750440000000.0,1420000000000.0,16649999.999999998,227007.80780780784
Nigeria,2010,60749349[43800000-83240000],146734[115000-179000],60749349,43800000.0,83240000.0,146734,115000.0,179000.0,Africa,551187.0,4238.0,408003000000.0,14013800000000.0,42141700000000.0,4832150000000.0,54612300000000.0,9591060000000.0,9183060000000.0,37534000000000.0,9644610000000.0,160950000.0,339312.20876048465
Oman,2010,7,0,7,0.0,0.0,0,0.0,0.0,Eastern Mediterranean,7.0,0.0,-40893067.0,14767687353.0,12197937794.0,4092008432.0,24990019372.0,7343707853.0,7384600919.0,8105929361.0,9319313628.0,2880000.0,8677.090059722223
Pakistan,2010,1445704[660000-2959000],1617[190-4250],1445704,660000.0,2959000.0,1617,190.0,4250.0,Eastern Mediterranean,240591.0,0.0,255910000000.0,2068580000000.0,14033800000000.0,1567460000000.0,15587000000000.0,2479070000000.0,2223160000000.0,12466400000000.0,3001850000000.0,194450000.0,80159.42401645667
Panama,2010,444[430-470],1,444,430.0,470.0,1,0.0,0.0,Americas,418.0,1.0,2531700000.0,20620600000.0,20601400000.0,3713100000.0,29440287581.0,11250000000.0,8718300000.0,16888300000.0,23031700000.0,3620000.0,8132.676127348066
Papua New Guinea,2010,1240109[439000-2154000],2634[100-6250],1240109,439000.0,2154000.0,2634,100.0,6250.0,Western Pacific,93956.0,616.0,525708441.0,24658463118.0,29808999100.0,5845104460.0,38752078674.0,9436410467.0,8910702025.0,23963894640.0,25151794011.0,7580000.0,5112.411434564644
Paraguay,2010,18,0,18,0.0,0.0,0,0.0,0.0,Americas,18.0,0.0,3283280000000.0,54399500000000.0,94422300000000.0,11697600000000.0,129093000000000.0,30769200000000.0,27486000000000.0,82724700000000.0,50498100000000.0,5770000.0,22373136.915077988
Peru,2010,37121[33000-42000],0,37121,33000.0,42000.0,0,0.0,0.0,Americas,31546.0,0.0,1030000000.0,115975000000.0,301168000000.0,43870000000.0,416784000000.0,99030000000.0,98000000000.0,257298000000.0,99389000000.0,29230000.0,14258.775230927129
Philippines,2010,54209[39000-71000],114[5-220],54209,39000.0,71000.0,114,5.0,220.0,Western Pacific,18560.0,30.0,1856549183.0,3090050000000.0,7511370000000.0,913664000000.0,9399450000000.0,1921410000000.0,1919560000000.0,6597710000000.0,3123390000000.0,94640000.0,99317.9416737109
Republic of Korea,2010,1267,1,1267,0.0,0.0,1,0.0,0.0,Western Pacific,1267.0,1.0,30752000000000.0,622999000000000.0,854936000000000.0,187875000000000.0,1320000000000000.0,430538000000000.0,399786000000000.0,667061000000000.0,585862000000000.0,48810000.0,27043638.598647818
Rwanda,2010,1260186[848000-1729000],3253[2820-3690],1260186,848000.0,1729000.0,3253,2820.0,3690.0,Africa,638669.0,670.0,23000000000.0,384000000000.0,3400000000000.0,467000000000.0,3569000000000.0,733000000000.0,710000000000.0,2933000000000.0,948000000000.0,10310000.0,346168.76818622695
Sao Tome and Principe,2010,2740,14,2740,0.0,0.0,14,0.0,0.0,Africa,2740.0,14.0,28004995.0,487082906.0,4047690215.0,1060180795.0,3652623292.0,1399238729.0,1371233734.0,2987509421.0,2281388558.0,180000.0,20292.35162222222
